vertices,edges,graph_type,optimal_colors,optimal_time,dsatur_colors,dsatur_time,dsatur_ratio,dsatur_error,dsatur_optimal,ldf_colors,ldf_time,ldf_ratio,ldf_error,ldf_optimal,hybrid_colors,hybrid_time,hybrid_ratio,hybrid_error,hybrid_optimal
3,3,complete,3,3.1948089599609375e-05,3,1.5020370483398438e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.621246337890625e-05,1.0,0.0,True
3,3,cycle,3,1.9788742065429688e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,8.344650268554688e-06,1.0,0.0,True
3,2,path,2,6.198883056640625e-06,2,5.9604644775390625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,8.106231689453125e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,5.9604644775390625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,6.9141387939453125e-06,1.0,0.0,True
3,0,random_0.2,1,1.9073486328125e-06,1,5.0067901611328125e-06,1.0,0.0,True,1,1.1920928955078125e-06,1.0,0.0,True,1,5.9604644775390625e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,4.76837158203125e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,6.198883056640625e-06,1.0,0.0,True
3,0,random_0.2,1,9.5367431640625e-07,1,4.0531158447265625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,5.7220458984375e-06,1.0,0.0,True
3,0,random_0.2,1,2.1457672119140625e-06,1,4.0531158447265625e-06,1.0,0.0,True,1,9.5367431640625e-07,1.0,0.0,True,1,5.9604644775390625e-06,1.0,0.0,True
3,1,random_0.5,2,5.245208740234375e-06,2,4.76837158203125e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,5.7220458984375e-06,1.0,0.0,True
3,1,random_0.5,2,4.0531158447265625e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,9.5367431640625e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,5.0067901611328125e-06,2,0.0002789497375488281,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,6.9141387939453125e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,9.5367431640625e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,1,random_0.5,2,4.0531158447265625e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,7.152557373046875e-07,1.0,0.0,True,2,6.198883056640625e-06,1.0,0.0,True
3,2,random_0.8,2,5.0067901611328125e-06,2,5.0067901611328125e-06,1.0,0.0,True,2,1.1920928955078125e-06,1.0,0.0,True,2,7.152557373046875e-06,1.0,0.0,True
3,2,random_0.8,2,5.9604644775390625e-06,2,5.245208740234375e-06,1.0,0.0,True,2,1.6689300537109375e-06,1.0,0.0,True,2,7.152557373046875e-06,1.0,0.0,True
3,2,random_0.8,2,4.76837158203125e-06,2,4.0531158447265625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,5.9604644775390625e-06,1.0,0.0,True
3,2,random_0.8,2,3.814697265625e-06,2,4.291534423828125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,5.9604644775390625e-06,1.0,0.0,True
3,2,random_0.8,2,4.0531158447265625e-06,2,4.291534423828125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,6.9141387939453125e-06,1.0,0.0,True
4,6,complete,4,0.00019502639770507812,4,1.3828277587890625e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,1.5974044799804688e-05,1.0,0.0,True
4,4,cycle,2,1.3113021850585938e-05,2,1.0013580322265625e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.0967254638671875e-05,1.0,0.0,True
4,3,path,2,1.1920928955078125e-05,2,9.059906005859375e-06,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.0013580322265625e-05,1.0,0.0,True
4,1,random_0.2,2,8.106231689453125e-06,2,5.9604644775390625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,7.867813110351562e-06,1.0,0.0,True
4,1,random_0.2,2,4.76837158203125e-06,2,7.152557373046875e-06,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,8.821487426757812e-06,1.0,0.0,True
4,1,random_0.2,2,6.198883056640625e-06,2,5.9604644775390625e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,9.059906005859375e-06,1.0,0.0,True
4,1,random_0.2,2,7.867813110351562e-06,2,6.198883056640625e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,8.821487426757812e-06,1.0,0.0,True
4,1,random_0.2,2,8.106231689453125e-06,2,5.9604644775390625e-06,1.0,0.0,True,2,9.5367431640625e-07,1.0,0.0,True,2,7.867813110351562e-06,1.0,0.0,True
4,3,random_0.5,2,1.0013580322265625e-05,2,6.9141387939453125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,1.0013580322265625e-05,1.0,0.0,True
4,3,random_0.5,2,8.106231689453125e-06,2,7.152557373046875e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,9.775161743164062e-06,1.0,0.0,True
4,3,random_0.5,2,1.3113021850585938e-05,2,6.9141387939453125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,1.0013580322265625e-05,1.0,0.0,True
4,3,random_0.5,2,4.76837158203125e-06,2,7.152557373046875e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,9.298324584960938e-06,1.0,0.0,True
4,3,random_0.5,2,9.059906005859375e-06,2,6.198883056640625e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,9.059906005859375e-06,1.0,0.0,True
4,4,random_0.8,2,1.0967254638671875e-05,2,7.152557373046875e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,8.821487426757812e-06,1.0,0.0,True
4,4,random_0.8,2,7.152557373046875e-06,2,6.9141387939453125e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,1.0967254638671875e-05,1.0,0.0,True
4,4,random_0.8,3,3.0994415283203125e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,2.1457672119140625e-06,1.0,0.0,True,3,1.0013580322265625e-05,1.0,0.0,True
4,4,random_0.8,3,4.100799560546875e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,2.1457672119140625e-06,1.0,0.0,True,3,9.059906005859375e-06,1.0,0.0,True
4,4,random_0.8,3,4.00543212890625e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,1.9073486328125e-06,1.0,0.0,True,3,1.0013580322265625e-05,1.0,0.0,True
5,10,complete,5,0.002409219741821289,5,1.4066696166992188e-05,1.0,0.0,True,5,4.0531158447265625e-06,1.0,0.0,True,5,1.621246337890625e-05,1.0,0.0,True
5,5,cycle,3,9.393692016601562e-05,3,1.0967254638671875e-05,1.0,0.0,True,3,2.6226043701171875e-06,1.0,0.0,True,3,1.4066696166992188e-05,1.0,0.0,True
5,4,path,2,1.7881393432617188e-05,2,1.0013580322265625e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.3113021850585938e-05,1.0,0.0,True
5,2,random_0.2,2,5.0067901611328125e-06,2,1.0967254638671875e-05,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,1.1920928955078125e-05,1.0,0.0,True
5,2,random_0.2,2,6.9141387939453125e-06,2,8.821487426757812e-06,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.2159347534179688e-05,1.0,0.0,True
5,2,random_0.2,2,2.002716064453125e-05,2,8.821487426757812e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,1.1205673217773438e-05,1.0,0.0,True
5,2,random_0.2,2,1.621246337890625e-05,2,9.059906005859375e-06,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.1920928955078125e-05,1.0,0.0,True
5,2,random_0.2,2,1.0967254638671875e-05,2,7.867813110351562e-06,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.0967254638671875e-05,1.0,0.0,True
5,5,random_0.5,3,5.602836608886719e-05,3,1.0967254638671875e-05,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,6.985664367675781e-05,3,1.0013580322265625e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.2159347534179688e-05,1.0,0.0,True
5,5,random_0.5,3,0.00010800361633300781,3,9.775161743164062e-06,1.0,0.0,True,3,1.6689300537109375e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,6.794929504394531e-05,3,9.059906005859375e-06,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,9.012222290039062e-05,3,1.0013580322265625e-05,1.0,0.0,True,3,1.9073486328125e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,8,random_0.8,4,0.0005271434783935547,4,1.0967254638671875e-05,1.0,0.0,True,4,3.0994415283203125e-06,1.0,0.0,True,4,1.5974044799804688e-05,1.0,0.0,True
5,8,random_0.8,3,0.00012540817260742188,3,1.1920928955078125e-05,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.5020370483398438e-05,1.0,0.0,True
5,8,random_0.8,3,0.0001227855682373047,3,1.2159347534179688e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.4781951904296875e-05,1.0,0.0,True
5,8,random_0.8,4,0.0004570484161376953,4,1.0967254638671875e-05,1.0,0.0,True,4,2.1457672119140625e-06,1.0,0.0,True,4,1.3113021850585938e-05,1.0,0.0,True
5,8,random_0.8,3,0.0001220703125,3,1.0967254638671875e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.4066696166992188e-05,1.0,0.0,True
6,15,complete,6,0.0462338924407959,6,4.982948303222656e-05,1.0,0.0,True,6,5.9604644775390625e-06,1.0,0.0,True,6,2.288818359375e-05,1.0,0.0,True
6,6,cycle,2,4.291534423828125e-05,2,1.5020370483398438e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.8358230590820312e-05,1.0,0.0,True
6,5,path,2,3.886222839355469e-05,2,1.4066696166992188e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.71661376953125e-05,1.0,0.0,True
6,3,random_0.2,2,2.1696090698242188e-05,2,1.1920928955078125e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,1.5735626220703125e-05,1.0,0.0,True
6,3,random_0.2,2,3.790855407714844e-05,2,1.1920928955078125e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,1.5735626220703125e-05,1.0,0.0,True
6,3,random_0.2,2,2.09808349609375e-05,2,1.3113021850585938e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.5020370483398438e-05,1.0,0.0,True
6,3,random_0.2,2,9.059906005859375e-06,2,1.1920928955078125e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.4781951904296875e-05,1.0,0.0,True
6,3,random_0.2,2,8.106231689453125e-06,2,1.2874603271484375e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.4781951904296875e-05,1.0,0.0,True
6,7,random_0.5,3,0.00020599365234375,3,1.3828277587890625e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.0002799034118652344,3,1.3828277587890625e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.00032591819763183594,3,1.4066696166992188e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.00018477439880371094,3,1.4066696166992188e-05,1.0,0.0,True,3,4.0531158447265625e-06,1.0,0.0,True,3,1.7881393432617188e-05,1.0,0.0,True
6,7,random_0.5,3,0.00018477439880371094,3,1.4066696166992188e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.7881393432617188e-05,1.0,0.0,True
6,12,random_0.8,4,0.0024650096893310547,4,1.5735626220703125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,1.9788742065429688e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023818016052246094,4,2.09808349609375e-05,1.0,0.0,True,4,5.245208740234375e-06,1.0,0.0,True,4,2.0265579223632812e-05,1.0,0.0,True
6,12,random_0.8,4,0.0021419525146484375,4,1.71661376953125e-05,1.0,0.0,True,4,3.814697265625e-06,1.0,0.0,True,4,1.8835067749023438e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023479461669921875,4,2.6226043701171875e-05,1.0,0.0,True,4,7.152557373046875e-06,1.0,0.0,True,4,2.002716064453125e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023980140686035156,4,1.5735626220703125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,1.7881393432617188e-05,1.0,0.0,True
7,7,cycle,3,0.0006740093231201172,3,1.9073486328125e-05,1.0,0.0,True,3,4.0531158447265625e-06,1.0,0.0,True,3,2.0265579223632812e-05,1.0,0.0,True
7,6,path,2,7.486343383789062e-05,2,1.6927719116210938e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,2.002716064453125e-05,1.0,0.0,True
7,4,random_0.2,3,0.0004248619079589844,3,1.5020370483398438e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.9311904907226562e-05,1.0,0.0,True
7,4,random_0.2,2,2.5987625122070312e-05,2,1.5020370483398438e-05,1.0,0.0,True,2,2.6226043701171875e-06,1.0,0.0,True,2,1.7881393432617188e-05,1.0,0.0,True
7,4,random_0.2,2,7.224082946777344e-05,2,2.002716064453125e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.811981201171875e-05,1.0,0.0,True
7,4,random_0.2,2,6.508827209472656e-05,2,1.4066696166992188e-05,1.0,0.0,True,2,3.814697265625e-06,1.0,0.0,True,2,1.9311904907226562e-05,1.0,0.0,True
7,4,random_0.2,2,8.58306884765625e-05,2,1.52587890625e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.7881393432617188e-05,1.0,0.0,True
7,10,random_0.5,4,0.0047109127044677734,4,1.9073486328125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,2.09808349609375e-05,1.0,0.0,True
7,10,random_0.5,3,0.0009980201721191406,3,1.9073486328125e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.193450927734375e-05,1.0,0.0,True
7,10,random_0.5,3,0.0008168220520019531,3,1.7881393432617188e-05,1.0,0.0,True,3,5.245208740234375e-06,1.0,0.0,True,3,2.09808349609375e-05,1.0,0.0,True
7,10,random_0.5,4,0.004705190658569336,4,1.8835067749023438e-05,1.0,0.0,True,4,4.76837158203125e-06,1.0,0.0,True,4,2.2172927856445312e-05,1.0,0.0,True
7,10,random_0.5,3,0.0008730888366699219,3,2.09808349609375e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.47955322265625e-05,1.0,0.0,True
7,16,random_0.8,5,0.05101895332336426,5,2.5987625122070312e-05,1.0,0.0,True,5,5.245208740234375e-06,1.0,0.0,True,5,2.5987625122070312e-05,1.0,0.0,True
7,16,random_0.8,4,0.00751495361328125,4,2.5033950805664062e-05,1.0,0.0,True,4,5.245208740234375e-06,1.0,0.0,True,4,2.9087066650390625e-05,1.0,0.0,True
7,16,random_0.8,5,0.04076075553894043,5,2.6941299438476562e-05,1.0,0.0,True,5,5.9604644775390625e-06,1.0,0.0,True,5,2.5272369384765625e-05,1.0,0.0,True
7,16,random_0.8,4,0.008422136306762695,4,2.5033950805664062e-05,1.0,0.0,True,4,4.76837158203125e-06,1.0,0.0,True,4,2.4080276489257812e-05,1.0,0.0,True
7,16,random_0.8,4,0.005904197692871094,4,2.193450927734375e-05,1.0,0.0,True,4,5.245208740234375e-06,1.0,0.0,True,4,2.3126602172851562e-05,1.0,0.0,True
8,8,cycle,2,0.0001671314239501953,2,2.193450927734375e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,2.384185791015625e-05,1.0,0.0,True
8,7,path,2,0.00015735626220703125,2,1.8835067749023438e-05,1.0,0.0,True,2,3.814697265625e-06,1.0,0.0,True,2,2.193450927734375e-05,1.0,0.0,True
8,5,random_0.2,2,0.00011014938354492188,2,2.0265579223632812e-05,1.0,0.0,True,2,3.814697265625e-06,1.0,0.0,True,2,2.3126602172851562e-05,1.0,0.0,True
8,5,random_0.2,2,7.772445678710938e-05,2,2.002716064453125e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,2.288818359375e-05,1.0,0.0,True
8,5,random_0.2,2,2.1696090698242188e-05,2,2.002716064453125e-05,1.0,0.0,True,2,4.0531158447265625e-06,1.0,0.0,True,2,2.5033950805664062e-05,1.0,0.0,True
8,5,random_0.2,3,0.001215219497680664,3,2.1219253540039062e-05,1.0,0.0,True,3,4.76837158203125e-06,1.0,0.0,True,3,2.4080276489257812e-05,1.0,0.0,True
8,5,random_0.2,2,0.00014066696166992188,2,2.0265579223632812e-05,1.0,0.0,True,2,4.0531158447265625e-06,1.0,0.0,True,2,2.4080276489257812e-05,1.0,0.0,True
8,14,random_0.5,3,0.0014739036560058594,3,2.4080276489257812e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.6941299438476562e-05,1.0,0.0,True
8,14,random_0.5,4,0.017902135848999023,4,2.6226043701171875e-05,1.0,0.0,True,4,5.9604644775390625e-06,1.0,0.0,True,4,2.8133392333984375e-05,1.0,0.0,True
8,14,random_0.5,4,0.024819135665893555,4,2.3126602172851562e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,2.574920654296875e-05,1.0,0.0,True
8,14,random_0.5,3,0.002501964569091797,3,3.504753112792969e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,2.7179718017578125e-05,1.0,0.0,True
8,14,random_0.5,3,0.0035631656646728516,3,2.384185791015625e-05,1.0,0.0,True,4,5.0067901611328125e-06,1.3333333333333333,0.3333333333333333,False,3,2.6941299438476562e-05,1.0,0.0,True
8,22,random_0.8,4,0.03563499450683594,4,3.0994415283203125e-05,1.0,0.0,True,4,5.9604644775390625e-06,1.0,0.0,True,4,3.0994415283203125e-05,1.0,0.0,True
8,22,random_0.8,5,0.1999220848083496,5,4.00543212890625e-05,1.0,0.0,True,5,7.867813110351562e-06,1.0,0.0,True,5,3.3855438232421875e-05,1.0,0.0,True
8,22,random_0.8,4,0.035864830017089844,4,3.790855407714844e-05,1.0,0.0,True,4,7.867813110351562e-06,1.0,0.0,True,4,3.504753112792969e-05,1.0,0.0,True
8,22,random_0.8,5,0.2003929615020752,5,3.3855438232421875e-05,1.0,0.0,True,5,6.9141387939453125e-06,1.0,0.0,True,5,3.0040740966796875e-05,1.0,0.0,True
8,22,random_0.8,4,0.03477883338928223,4,2.7894973754882812e-05,1.0,0.0,True,4,5.7220458984375e-06,1.0,0.0,True,4,3.0040740966796875e-05,1.0,0.0,True
9,9,cycle,3,0.006349086761474609,3,2.6941299438476562e-05,1.0,0.0,True,3,4.76837158203125e-06,1.0,0.0,True,3,3.0040740966796875e-05,1.0,0.0,True
9,8,path,2,0.0003571510314941406,2,2.47955322265625e-05,1.0,0.0,True,2,5.245208740234375e-06,1.0,0.0,True,2,2.8848648071289062e-05,1.0,0.0,True
9,7,random_0.2,3,0.0026810169219970703,3,2.6226043701171875e-05,1.0,0.0,True,3,5.7220458984375e-06,1.0,0.0,True,3,2.8133392333984375e-05,1.0,0.0,True
9,7,random_0.2,3,0.005838155746459961,3,2.3126602172851562e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.7179718017578125e-05,1.0,0.0,True
9,7,random_0.2,3,0.0017170906066894531,3,2.5033950805664062e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.8133392333984375e-05,1.0,0.0,True
9,7,random_0.2,2,0.00017213821411132812,2,2.6226043701171875e-05,1.0,0.0,True,2,5.0067901611328125e-06,1.0,0.0,True,2,2.9325485229492188e-05,1.0,0.0,True
9,7,random_0.2,3,0.001129150390625,3,2.3603439331054688e-05,1.0,0.0,True,3,5.0067901611328125e-06,1.0,0.0,True,3,2.7894973754882812e-05,1.0,0.0,True
9,18,random_0.5,4,0.05513286590576172,4,3.6716461181640625e-05,1.0,0.0,True,4,8.106231689453125e-06,1.0,0.0,True,4,3.409385681152344e-05,1.0,0.0,True
9,18,random_0.5,4,0.05444622039794922,4,3.314018249511719e-05,1.0,0.0,True,4,5.7220458984375e-06,1.0,0.0,True,4,3.1948089599609375e-05,1.0,0.0,True
9,18,random_0.5,4,0.10549616813659668,4,4.291534423828125e-05,1.0,0.0,True,4,9.059906005859375e-06,1.0,0.0,True,4,3.719329833984375e-05,1.0,0.0,True
9,18,random_0.5,4,0.06286311149597168,4,3.409385681152344e-05,1.0,0.0,True,4,6.9141387939453125e-06,1.0,0.0,True,4,3.1948089599609375e-05,1.0,0.0,True
9,18,random_0.5,4,0.06601285934448242,4,3.600120544433594e-05,1.0,0.0,True,4,6.9141387939453125e-06,1.0,0.0,True,4,3.2901763916015625e-05,1.0,0.0,True
9,28,random_0.8,5,1.127211093902588,5,4.696846008300781e-05,1.0,0.0,True,5,9.059906005859375e-06,1.0,0.0,True,5,4.00543212890625e-05,1.0,0.0,True
9,28,random_0.8,5,1.1874570846557617,5,4.792213439941406e-05,1.0,0.0,True,5,7.867813110351562e-06,1.0,0.0,True,5,3.814697265625e-05,1.0,0.0,True
9,28,random_0.8,5,1.0974998474121094,5,5.1021575927734375e-05,1.0,0.0,True,5,9.059906005859375e-06,1.0,0.0,True,5,4.1961669921875e-05,1.0,0.0,True
9,28,random_0.8,6,6.933948040008545,6,4.9114227294921875e-05,1.0,0.0,True,6,1.0013580322265625e-05,1.0,0.0,True,6,4.100799560546875e-05,1.0,0.0,True
9,28,random_0.8,5,1.1676561832427979,5,4.410743713378906e-05,1.0,0.0,True,5,9.059906005859375e-06,1.0,0.0,True,5,7.009506225585938e-05,1.0,0.0,True
